"filename", "language", "JSON", "XML", "JavaScript", "Markdown", "HTML", "SCSS", "Ruby", "TypeScript", "YAML", "comment", "blank", "total"
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\riding-toggle\riding-toggle.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 7, 39
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\router-info-in-bottom\router-info-in-bottom.component.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\router-info-in-bottom\router-info-in-bottom.component.scss", "SCSS", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 10, 59
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\router-info-in-bottom\router-info-in-bottom.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\router-info-in-bottom\router-info-in-bottom.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 75, 0, 2, 9, 86
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\router-start\router-start.component.html", "HTML", 0, 0, 0, 0, 96, 0, 0, 0, 0, 2, 5, 103
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\router-start\router-start.component.scss", "SCSS", 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 21, 153
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\router-start\router-start.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\router-start\router-start.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 209, 0, 24, 41, 274
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\search-bar-main-map\search-bar-main-map.component.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\search-bar-main-map\search-bar-main-map.component.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 3, 14
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\search-bar-main-map\search-bar-main-map.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
